Crop,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulphur,Zinc,Iron,Copper,Manganese,Boron
Bajra,7.37,1.01,0.33,538,32,172,45,0.34,7.49,1.82,2.81,1.16
Bajra,5.58,1.09,0.26,268,11,466,17,1.93,4.95,1.82,7.18,0.58
Cotton,7.65,0.53,1.13,460,14,559,36,0.44,7.15,0.5,5.28,1.23
Groundnut,8.24,0.71,0.55,380,42,495,35,0.53,9.05,0.93,3.85,0.39
Cotton,6.52,0.29,0.41,424,41,407,7,1.37,8.45,1.27,2.82,0.84
Grapes,7.68,0.35,0.88,442,43,352,51,1.06,8.44,0.39,2.78,1.18
Jowar,5.6,0.17,0.38,513,36,410,58,1.85,7.16,1.12,6.81,0.8
Sugarcane,8.19,0.85,0.58,294,17,343,24,1.18,4.53,1.68,1.72,1.23
Onion,6.17,0.81,0.96,290,37,573,40,1.63,6.0,0.31,2.69,0.73
Jowar,6.94,0.2,0.93,167,36,342,43,1.22,4.28,1.71,5.79,0.53
Groundnut,8.1,0.76,1.18,253,43,589,18,1.82,2.55,1.16,5.6,1.39
Wheat,7.53,0.15,0.43,580,38,251,58,1.74,3.24,0.65,7.29,1.44
Soybean,5.74,1.38,0.68,594,39,378,18,1.11,8.6,0.72,2.45,0.57
Banana,7.78,0.13,0.43,272,28,134,55,0.35,8.93,1.42,7.11,0.14
Rice,5.5,1.05,0.88,271,5,150,57,0.71,7.51,1.3,2.59,0.11
Maize,5.54,1.45,0.28,472,19,139,8,1.74,7.05,0.79,1.53,1.41
Bajra,6.45,1.48,0.98,306,21,280,23,1.58,2.05,0.87,5.72,0.68
Grapes,6.51,1.42,0.94,533,38,490,30,1.29,5.15,0.65,4.92,1.35
Soybean,7.56,0.43,0.24,370,40,425,46,1.91,7.41,1.03,1.93,0.1
Bajra,8.31,0.1,0.97,307,31,563,16,1.15,5.59,0.94,1.17,0.47
Wheat,8.28,0.44,0.79,171,10,332,7,1.89,4.62,0.96,4.02,0.39
Onion,7.23,1.38,1.07,267,37,542,47,0.49,8.52,1.25,6.19,0.16
Banana,6.47,1.31,0.4,271,16,338,54,1.94,4.91,1.95,1.36,1.24
Soybean,7.06,1.05,0.29,293,35,358,13,0.57,3.21,1.78,6.98,1.32
Cotton,8.38,1.26,0.44,291,29,505,42,1.6,4.61,0.63,2.37,1.3
Soybean,6.52,0.4,0.41,479,43,523,26,1.48,6.93,0.52,1.54,0.51
Gram,5.65,1.47,1.14,280,25,257,37,1.1,2.82,1.71,7.2,0.12
Sugarcane,8.24,0.47,0.95,295,25,588,45,1.7,3.86,0.45,2.37,1.24
Grapes,8.16,1.45,1.02,274,9,538,40,0.8,8.36,0.91,1.8,0.92
Tur,6.68,0.44,0.7,537,8,269,7,1.26,8.83,1.45,6.29,1.26
Bajra,5.59,0.68,0.75,216,38,380,11,1.46,6.94,1.82,5.14,0.41
Soybean,8.01,1.42,0.31,390,33,123,54,0.41,8.84,0.61,1.97,0.21
Banana,7.47,1.07,0.88,544,21,318,33,1.06,8.34,0.84,1.79,1.14
Groundnut,7.93,0.42,0.37,245,33,234,38,0.49,6.0,0.43,3.73,1.4
Tomato,7.74,0.6,0.43,525,39,524,12,1.27,4.16,0.8,7.62,0.67
Wheat,6.75,0.29,0.66,557,16,555,21,0.46,6.42,1.7,4.69,0.32
Soybean,8.47,1.22,0.92,244,38,282,8,1.42,4.83,0.14,5.63,1.28
Onion,6.45,0.66,0.53,569,22,111,16,0.96,3.83,0.49,7.5,1.1
Bajra,7.63,1.44,0.28,648,42,564,43,0.99,3.85,0.3,4.6,1.44
Banana,7.8,0.91,0.36,579,20,502,58,1.07,7.59,1.61,3.96,0.75
Tomato,7.82,0.73,0.92,352,17,124,53,0.55,5.1,1.47,2.13,0.7
Wheat,6.17,0.16,0.42,532,34,361,47,0.73,9.73,1.95,2.77,0.47
Maize,5.65,0.92,1.0,364,36,512,25,0.92,6.52,0.11,4.91,0.94
Wheat,8.22,0.14,1.15,500,43,157,16,0.93,5.91,0.33,5.58,0.25
Soybean,8.19,0.5,0.39,468,42,587,55,1.79,7.57,0.83,4.41,0.89
Onion,6.82,0.51,0.46,644,19,204,26,0.88,9.47,1.66,4.72,0.33
Cotton,6.43,0.29,0.34,268,29,358,41,1.78,8.23,0.16,2.51,0.2
Onion,8.28,0.89,0.78,391,17,350,38,0.84,2.4,1.89,4.38,0.97
Jowar,7.6,0.52,1.0,274,5,492,29,1.95,5.79,0.61,1.66,1.49
Cotton,6.09,1.01,1.15,484,25,397,18,0.79,5.0,0.75,5.38,0.56
Maize,7.85,1.33,1.13,215,8,358,47,0.56,4.7,1.9,6.44,0.51
Sugarcane,7.35,1.49,0.44,288,36,156,13,1.23,8.19,1.96,3.63,0.98
Tur,6.33,0.79,0.57,242,12,197,21,1.15,7.39,0.98,7.99,0.64
Wheat,5.69,0.47,0.44,157,29,208,42,0.37,2.17,0.19,2.8,0.52
Tur,6.29,1.13,0.5,465,42,108,21,1.88,2.92,1.08,6.04,0.5
Cotton,6.92,1.22,0.79,356,22,425,60,1.81,9.77,0.78,5.35,1.24
Rice,6.4,1.31,0.67,196,21,263,21,1.18,9.61,1.87,2.15,1.19
Wheat,6.91,1.13,0.83,521,18,144,33,1.4,8.2,0.21,6.42,0.72
Jowar,7.5,0.28,0.36,607,35,158,54,0.8,6.05,1.19,6.44,0.86
Gram,8.3,0.9,0.55,225,22,252,15,0.36,8.67,0.81,2.93,0.51
Maize,5.62,0.79,1.18,316,16,537,33,1.32,8.79,0.84,7.73,0.43
Maize,7.04,1.27,0.89,386,9,157,14,1.17,5.53,0.4,1.24,1.49
Groundnut,8.5,0.5,1.13,241,33,231,55,0.65,7.09,0.9,1.18,1.44
Banana,7.05,0.62,0.92,470,14,545,41,0.51,4.84,1.08,2.67,0.19
Jowar,6.07,0.27,1.17,271,10,571,37,1.79,6.26,0.17,7.69,1.34
Wheat,7.49,0.69,0.86,184,17,582,15,1.64,9.12,1.3,7.11,0.78
Wheat,6.4,0.41,0.2,456,25,516,25,1.03,5.08,1.32,6.14,1.14
Grapes,6.01,1.36,0.88,453,29,193,30,0.36,2.18,1.56,1.32,0.28
Onion,7.4,1.17,0.68,232,34,456,9,0.83,5.16,0.88,7.9,0.81
Soybean,6.01,0.15,0.73,256,45,417,55,1.13,4.45,0.18,2.06,1.47
Jowar,8.02,0.89,0.66,159,6,390,53,1.9,2.08,0.85,3.0,1.18
Bajra,5.78,0.78,0.26,402,13,236,51,0.75,2.0,0.44,2.73,1.28
Sugarcane,7.33,1.0,0.25,603,33,273,32,1.44,3.08,0.79,2.13,0.35
Rice,7.92,0.54,0.45,215,37,579,24,0.78,4.22,1.59,5.91,0.49
Wheat,6.71,1.26,0.82,383,33,107,24,0.28,9.92,0.88,5.09,0.15
Wheat,6.6,0.46,0.29,280,39,576,41,0.54,8.77,1.86,2.18,0.35
Rice,7.34,0.7,1.0,542,37,329,57,0.4,8.36,1.79,3.78,1.19
Jowar,5.61,0.16,0.98,405,6,301,16,0.28,8.55,1.44,5.2,0.29
Gram,7.36,0.42,0.82,387,16,302,57,0.35,7.03,0.12,6.51,0.59
Gram,7.33,1.14,0.81,217,6,510,5,1.67,9.29,1.0,6.72,0.25
Onion,7.86,0.96,0.63,594,30,342,21,0.29,6.75,1.24,3.28,1.2
Onion,6.51,0.64,0.72,292,13,228,6,0.78,4.31,0.18,2.28,0.44
Sugarcane,6.56,0.13,0.63,343,45,265,5,1.45,6.41,0.76,1.81,0.46
Grapes,6.64,0.55,0.73,162,8,183,39,0.46,6.45,1.31,5.48,0.88
Tur,6.52,1.26,1.05,212,19,563,14,1.92,6.49,1.66,6.22,0.16
Onion,7.68,1.42,0.24,338,41,157,50,1.56,2.04,1.43,3.19,1.33
Cotton,7.38,0.14,0.68,292,45,445,6,1.22,4.03,1.73,7.2,1.02
Cotton,7.14,0.57,0.92,284,5,503,54,1.6,4.22,0.86,3.26,0.14
Sugarcane,5.84,0.55,0.54,334,40,423,54,1.23,2.42,1.01,3.87,0.89
Jowar,8.28,0.18,1.15,473,36,498,40,1.72,2.63,0.78,5.43,0.66
Groundnut,5.66,1.3,0.98,385,40,386,44,1.4,7.28,1.73,1.06,0.34
Bajra,5.52,0.6,1.06,633,18,287,36,0.67,3.17,1.53,7.6,0.38
Jowar,7.14,1.38,0.51,288,23,209,26,0.78,2.36,0.6,7.54,0.63
Tomato,7.57,0.75,0.88,559,43,169,40,1.42,6.85,0.67,3.79,0.88
Banana,6.46,0.67,0.3,372,6,213,60,0.95,6.86,1.78,1.31,0.28
Tomato,8.49,1.43,1.09,174,23,122,54,1.13,4.44,1.93,6.3,0.58
Tur,7.17,0.97,0.73,150,43,422,43,1.9,5.62,0.39,6.11,0.82
Cotton,5.58,0.63,0.62,638,15,301,48,0.64,2.64,0.61,7.34,0.11
Soybean,7.81,0.64,0.72,248,7,237,12,0.55,7.46,1.82,6.57,0.18
Onion,7.34,0.11,0.56,351,28,329,43,1.95,3.4,0.8,6.31,1.09
Banana,7.51,0.41,0.76,225,21,500,27,0.55,4.59,0.43,1.1,1.33
Sugarcane,6.67,1.27,0.66,636,9,317,47,0.68,3.46,1.26,3.69,0.38
Tur,5.65,1.49,0.72,605,26,593,7,1.86,8.01,1.26,1.61,0.62
Tomato,5.79,0.84,0.22,205,14,185,32,1.56,4.56,1.66,4.1,1.0
Wheat,6.05,0.91,0.35,184,31,245,29,0.59,5.24,1.84,4.62,1.44
Gram,5.83,0.97,0.62,608,15,480,38,1.65,9.27,0.71,6.5,1.4
Onion,6.83,1.09,0.45,563,39,553,38,0.52,3.97,0.42,4.95,0.56
Grapes,6.44,0.48,0.81,182,24,571,44,1.7,7.06,0.42,4.2,0.69
Onion,7.59,1.0,0.47,320,22,120,27,1.22,3.66,0.76,4.15,1.13
Tomato,7.6,0.43,0.76,463,45,204,36,1.21,5.08,1.64,1.8,0.49
Soybean,7.94,0.43,1.0,279,37,569,11,0.79,6.31,0.1,3.28,0.93
Tomato,6.59,1.29,0.93,584,7,382,9,1.12,5.34,1.99,2.58,0.99
Bajra,7.52,1.4,1.05,279,27,424,5,1.54,3.08,1.32,2.58,1.35
Rice,7.74,0.91,1.06,648,32,167,14,1.69,9.86,1.53,4.67,0.5
Cotton,6.26,0.11,0.43,280,28,271,54,1.63,5.18,0.13,2.03,0.31
Cotton,7.86,0.91,1.17,367,7,560,9,1.09,4.49,1.96,3.37,0.35
Bajra,7.08,1.21,1.14,230,27,319,35,0.95,2.39,1.5,3.26,1.05
Groundnut,6.32,0.8,0.73,440,38,356,11,1.96,3.35,1.3,7.23,0.72
Tur,7.59,1.25,0.95,280,20,397,60,0.6,9.18,0.92,6.59,1.06
Groundnut,7.99,0.8,0.47,356,23,217,47,1.08,8.41,1.86,7.33,0.95
Bajra,6.77,0.39,1.02,390,20,278,41,1.74,2.82,1.98,7.1,1.15
Banana,8.38,0.53,0.22,481,44,478,30,1.39,8.15,0.37,5.14,0.61
Banana,7.26,0.67,0.4,243,26,196,37,0.69,3.38,1.11,2.69,1.01
Jowar,7.18,0.12,0.72,635,13,183,33,0.56,6.01,1.64,6.15,0.48
Onion,8.06,0.76,0.36,194,12,454,25,1.62,2.5,0.14,5.88,0.34
Tomato,6.75,0.15,0.69,443,39,157,21,1.71,7.73,1.41,4.44,1.01
Cotton,6.59,0.6,0.49,156,10,221,54,1.59,7.52,0.21,3.18,0.72
Banana,6.19,0.41,0.94,530,24,434,6,1.12,7.93,0.17,3.42,1.02
Groundnut,6.49,0.83,0.39,364,16,595,56,0.68,3.35,0.34,6.53,1.31
Maize,6.86,1.0,0.67,250,43,369,5,1.63,5.69,0.33,2.64,0.99
Sugarcane,5.5,0.72,0.25,329,31,266,53,1.64,8.18,0.96,4.67,0.61
Tomato,7.46,1.03,1.2,583,20,305,21,1.86,7.0,1.62,6.2,0.75
Wheat,7.6,0.45,0.56,481,17,123,49,0.27,5.4,0.73,5.28,0.33
Tomato,8.12,0.87,0.74,635,17,545,57,1.45,2.93,0.74,1.29,0.99
Gram,5.79,0.84,1.16,310,36,484,6,1.42,5.71,0.99,5.78,0.59
Cotton,7.25,1.23,0.94,288,41,375,6,0.87,8.99,0.65,2.05,1.01
Gram,7.77,0.39,0.73,543,37,353,59,0.25,4.05,0.79,3.88,0.5
Gram,5.81,0.19,0.32,510,35,116,44,0.76,8.7,0.12,5.56,1.19
Rice,7.0,1.04,1.19,227,34,413,58,0.45,7.7,0.93,4.93,0.14
Jowar,7.15,0.25,0.73,210,12,108,39,1.89,7.13,0.67,6.2,1.27
Bajra,5.89,0.9,0.68,545,20,224,19,1.55,2.87,0.57,2.83,1.38
Gram,6.61,0.39,0.3,238,10,297,44,1.45,2.99,0.62,2.73,1.12
Bajra,7.44,0.45,0.25,369,43,515,57,0.68,9.65,0.98,1.5,0.45
Groundnut,6.56,1.38,0.47,442,12,320,9,0.67,7.58,0.6,3.96,0.14
Wheat,8.23,0.46,1.04,591,23,458,50,0.92,3.75,1.23,2.21,0.69
Jowar,5.71,0.17,1.19,277,23,303,30,1.94,4.61,0.28,7.94,0.97
Gram,8.23,0.56,0.85,171,38,267,33,1.28,2.1,1.02,7.77,0.85
Grapes,5.88,1.19,0.54,288,8,313,16,1.22,9.07,1.51,6.6,0.67
Tomato,6.43,0.42,1.08,479,10,290,40,0.7,2.44,1.17,2.38,0.69
Tomato,7.48,1.12,0.36,643,35,115,26,1.08,9.04,0.87,5.85,1.43
Tur,6.4,0.58,0.55,242,24,532,16,0.29,8.28,1.18,2.86,0.18
Cotton,6.55,0.38,0.63,434,7,120,53,1.56,6.07,0.37,1.64,0.88
Soybean,8.29,0.61,1.2,160,16,179,55,0.42,4.8,1.25,3.04,1.37
Tomato,7.97,0.48,0.92,417,12,321,56,1.08,9.93,0.86,3.52,0.82
Cotton,7.05,1.06,0.74,649,28,343,29,1.9,5.27,0.42,2.28,0.88
Gram,5.77,1.16,0.42,501,25,427,52,1.38,2.76,0.26,1.91,0.61
Onion,8.48,0.13,0.42,175,17,447,60,1.24,2.73,0.7,4.62,0.58
Tomato,7.99,1.04,0.35,548,5,415,19,0.22,6.0,1.35,4.08,0.82
Tomato,6.47,1.11,0.97,463,27,346,44,0.7,5.56,1.65,7.66,0.36
Tur,5.82,0.2,0.73,394,19,179,46,0.78,8.59,0.25,2.99,1.05
Tur,6.47,0.82,1.2,458,45,525,5,1.58,4.79,1.67,3.41,1.28
Groundnut,7.79,0.24,0.96,272,38,122,49,1.42,8.7,1.36,1.37,0.19
Gram,7.08,1.4,0.83,225,25,278,16,1.08,8.37,1.13,2.85,0.33
Onion,5.56,1.06,1.13,193,29,535,47,1.43,4.82,0.61,4.19,1.31
Wheat,6.01,0.47,0.71,468,27,435,47,1.91,2.25,1.65,7.14,0.39
Onion,6.11,1.19,0.69,236,7,568,57,1.59,9.96,1.33,1.65,1.36
Grapes,5.95,0.48,0.66,429,16,328,43,1.95,6.64,1.38,7.46,0.56
Bajra,7.02,0.56,0.9,408,34,260,34,0.78,4.71,0.76,4.81,1.23
Tomato,6.34,1.41,0.77,247,34,126,9,0.46,5.93,1.64,6.2,0.78
Tomato,5.82,1.05,1.14,638,19,221,60,1.85,8.96,0.23,5.1,0.28
Rice,5.81,0.69,0.75,623,42,600,21,1.67,6.22,0.68,5.3,0.65
Soybean,8.39,0.13,0.49,574,34,252,16,0.71,6.78,0.72,7.78,0.69
Wheat,7.04,0.31,1.03,324,44,266,11,1.41,5.02,0.96,6.18,0.98
Groundnut,7.06,0.33,0.5,390,21,369,18,0.85,4.92,1.2,4.39,1.43
Maize,6.97,0.61,0.71,303,45,130,7,1.78,7.02,0.63,5.63,1.18
Sugarcane,6.99,0.82,0.69,301,29,462,7,1.92,4.13,1.51,7.73,1.45
Tur,8.38,0.89,0.66,273,22,295,26,1.49,2.91,0.82,4.91,0.95
Gram,5.5,1.49,0.92,323,13,523,29,0.84,8.46,1.02,1.37,0.32
Rice,8.22,0.28,1.06,614,30,389,54,0.38,5.47,1.09,3.5,1.39
Cotton,7.04,1.38,0.95,346,43,521,15,0.2,6.85,0.1,3.68,1.31
Wheat,8.32,0.81,0.39,210,42,430,11,0.9,3.65,1.75,1.38,1.42
Jowar,7.91,0.77,0.44,196,40,469,36,1.59,6.19,1.9,2.82,1.2
Maize,7.43,1.25,0.37,372,15,109,7,1.97,9.6,1.91,6.8,0.32
Jowar,8.21,0.36,0.88,536,10,301,44,1.15,6.9,1.04,6.41,0.66
Groundnut,6.07,1.35,0.22,484,26,372,20,0.89,5.18,1.08,1.05,1.2
Onion,8.13,0.95,0.63,167,40,510,45,1.14,7.8,1.97,1.04,1.08
Onion,6.25,0.77,0.65,276,17,549,42,1.61,8.51,0.2,6.8,0.12
Tomato,7.09,0.91,0.85,184,29,102,38,0.81,4.62,1.38,3.85,1.33
Wheat,6.43,0.35,0.83,575,44,414,54,1.99,3.81,0.37,4.91,1.39
Groundnut,7.42,0.3,0.71,183,44,188,13,0.31,3.78,0.42,3.5,0.53
Grapes,8.26,1.13,1.0,322,13,505,43,0.44,2.55,1.53,4.66,1.29
Soybean,7.53,1.14,1.18,597,28,212,22,1.98,7.32,1.18,3.03,1.06
Rice,6.31,1.18,0.43,151,5,245,54,1.65,3.32,1.96,5.71,1.47
Rice,5.78,0.97,0.59,499,15,242,53,0.69,9.38,1.32,6.79,1.43
Bajra,8.31,1.37,0.22,650,10,246,29,1.4,2.27,0.65,3.61,0.88
Onion,8.37,1.11,0.74,600,45,110,39,0.45,6.35,0.13,1.21,0.17
Sugarcane,6.68,1.05,0.27,429,37,522,13,1.42,8.43,1.3,3.25,0.85
Tur,8.16,0.74,1.09,502,15,434,11,0.44,6.37,1.75,6.19,0.87
Grapes,5.8,1.33,0.86,595,25,538,37,0.54,5.96,1.76,5.05,1.49
Groundnut,7.29,0.6,0.72,331,39,593,14,0.26,9.54,1.33,6.38,0.29
Soybean,7.14,0.28,0.29,520,35,488,15,0.22,4.15,1.63,3.48,0.21
Gram,5.59,0.54,0.24,407,43,369,26,1.23,4.18,0.46,1.12,0.64
Sugarcane,6.95,0.65,0.91,152,41,144,35,0.46,3.07,1.17,7.77,0.18
Bajra,6.6,0.26,0.51,551,26,550,6,0.56,9.77,0.65,1.41,0.37
Maize,8.48,0.72,0.31,344,10,305,24,0.65,9.99,1.45,5.09,0.63
Rice,5.61,1.07,1.12,179,25,488,48,1.47,5.27,1.82,2.99,0.86
Sugarcane,6.27,1.15,1.09,490,43,202,16,0.91,3.07,1.42,7.81,1.0
Bajra,6.14,1.06,0.26,477,18,480,10,0.7,5.57,0.15,5.58,0.2
Soybean,8.24,1.02,0.86,398,19,334,17,1.81,2.55,0.18,7.47,0.55
Gram,7.15,1.47,0.8,578,14,165,36,0.8,2.67,0.25,7.74,0.62
Jowar,7.81,1.02,0.87,627,37,133,31,0.68,7.86,1.38,1.75,0.41
Groundnut,6.03,0.53,0.41,513,17,511,27,0.47,7.58,0.52,3.75,0.87
Groundnut,6.38,0.21,0.76,419,24,132,7,1.19,2.31,1.52,4.41,1.22
Cotton,7.71,1.17,0.85,443,43,377,36,0.93,6.19,1.26,3.31,0.88
Onion,7.35,0.17,0.78,341,5,227,43,1.18,9.27,0.71,6.92,0.59
Groundnut,6.02,1.29,0.25,298,41,236,12,1.33,7.87,1.72,2.76,1.13
Cotton,7.27,0.74,0.46,426,43,425,5,1.23,2.48,0.58,5.11,0.26
Soybean,7.42,0.21,0.81,201,19,463,40,0.46,3.2,0.56,3.53,0.59
Jowar,8.25,0.31,1.04,241,27,191,26,0.6,2.94,1.87,6.2,1.3
Gram,5.76,0.47,0.78,526,33,433,27,0.9,7.91,0.34,5.25,0.26
Bajra,6.87,0.7,1.1,483,30,352,36,0.78,6.72,1.14,2.03,1.48
Soybean,7.71,0.57,0.38,526,8,390,42,1.63,7.93,1.55,7.05,0.26
Banana,7.97,0.66,0.84,249,27,399,11,0.9,7.13,1.85,6.18,1.19
Groundnut,6.41,0.78,1.01,646,5,458,47,1.49,7.84,0.11,7.17,0.78
Maize,6.02,0.7,0.52,557,30,478,47,1.1,8.78,0.19,3.3,0.78
Onion,7.64,0.11,0.46,429,16,272,32,1.81,4.66,0.63,4.85,1.08
Onion,6.63,1.48,1.04,472,19,408,39,0.88,2.83,1.36,4.7,1.34
Tur,8.48,0.98,0.87,413,36,182,27,1.35,3.39,0.85,2.73,1.42
Bajra,5.63,1.25,0.82,311,23,177,49,0.74,5.02,0.75,3.07,1.44
Bajra,7.63,0.55,0.68,315,37,532,15,1.09,3.55,0.72,6.18,1.09
Onion,6.85,0.39,0.82,164,19,174,39,0.54,7.5,0.67,5.56,0.47
Gram,8.23,1.33,0.78,438,15,478,28,1.38,4.27,1.2,3.16,0.25
Gram,7.78,1.4,1.02,416,42,548,37,0.57,6.82,1.07,3.89,1.47
Gram,7.5,1.01,0.78,204,36,226,41,1.55,9.62,0.78,1.62,0.67
Groundnut,6.32,0.28,0.58,284,40,596,12,1.11,4.03,1.12,6.66,1.13
Tomato,7.27,1.15,0.38,504,18,485,49,0.68,2.16,0.62,5.66,0.87
Wheat,5.56,0.25,0.25,191,22,303,59,0.54,4.75,1.97,3.59,1.02
Gram,6.93,1.3,0.99,409,36,444,6,0.49,4.4,0.73,3.89,0.61
Banana,6.19,0.62,0.53,444,37,213,7,1.85,7.63,1.24,1.84,1.08
Maize,6.79,1.46,0.53,434,31,454,23,1.04,2.89,1.87,2.81,1.04
Grapes,5.67,1.46,1.07,176,12,250,25,0.86,6.57,1.52,4.58,1.32
Rice,7.83,0.25,0.36,192,32,221,9,0.86,5.81,0.75,4.29,0.96
Wheat,5.63,1.4,0.65,582,20,434,34,1.11,2.7,1.26,4.79,0.75
Jowar,7.83,0.46,0.32,349,10,448,54,1.59,7.54,0.61,3.05,0.81
Onion,7.59,0.87,0.21,298,36,342,9,0.51,6.87,0.26,7.72,0.45
Rice,5.65,0.12,0.52,623,14,479,42,1.56,8.17,0.71,3.15,0.63
Tomato,7.76,1.06,0.38,308,11,399,27,0.9,7.4,0.76,4.73,1.4
Tomato,8.47,1.07,1.18,273,26,257,15,1.16,8.73,1.72,7.01,1.06
Tur,6.23,1.03,0.89,334,9,236,53,1.25,3.05,1.0,4.37,1.31
Rice,8.35,0.97,1.0,215,20,600,24,0.26,4.92,1.26,7.56,0.59
Jowar,7.12,0.53,0.8,396,12,599,49,1.37,5.29,0.41,4.63,0.37
Rice,7.82,0.17,0.6,374,28,247,37,0.81,9.78,1.75,4.78,0.87
Grapes,6.12,0.59,0.91,473,45,589,9,0.35,5.14,1.02,1.69,1.17
Tomato,6.07,0.81,0.42,507,29,317,27,1.69,2.52,1.63,6.37,0.92
Jowar,7.3,0.74,1.19,452,19,107,54,1.14,8.06,1.85,2.62,1.32
Bajra,8.37,0.41,0.56,360,25,386,36,1.66,9.64,0.46,1.85,0.14
Tur,7.01,0.49,0.48,487,44,564,23,1.65,4.66,0.49,2.5,0.5
Soybean,8.2,0.46,0.84,150,44,145,25,0.63,2.85,1.06,4.67,0.28
Grapes,5.81,1.5,1.04,256,22,594,49,1.58,3.75,0.18,7.29,1.41
Grapes,8.42,1.04,0.24,154,35,590,26,1.65,9.94,0.88,2.55,0.96
Jowar,6.92,0.28,0.72,419,14,331,33,1.92,2.51,1.15,3.47,0.18
Soybean,6.01,0.36,1.06,224,21,178,6,0.43,2.08,1.17,7.9,0.53
Onion,8.18,0.99,0.66,468,12,176,19,1.37,8.72,1.6,5.33,0.36
Rice,7.45,1.16,1.16,191,14,503,41,1.32,5.56,1.23,2.23,1.19
Gram,5.65,1.27,0.41,287,36,147,16,0.35,9.15,1.79,7.06,1.27
Wheat,6.99,0.21,0.94,262,23,500,31,0.33,2.38,0.98,5.44,1.4
Maize,6.28,0.7,1.15,462,42,256,59,1.14,7.42,1.95,2.29,1.42
Soybean,6.18,1.0,0.89,396,37,137,8,1.2,8.35,1.46,2.46,0.41
Tomato,8.49,1.23,0.4,262,10,181,42,0.3,7.95,0.86,4.04,0.72
Tur,6.51,1.04,1.09,511,27,458,60,0.49,6.58,0.3,2.45,0.71
Maize,6.86,1.05,0.97,472,42,186,58,0.95,8.14,1.29,2.71,0.2
Grapes,7.24,0.28,0.22,200,16,361,44,0.22,4.67,1.5,2.26,0.24
Tur,6.69,0.41,0.97,514,17,286,37,0.9,5.12,1.45,1.58,0.46
Bajra,6.25,0.36,0.81,190,8,223,34,0.75,5.65,0.12,4.63,0.45
Banana,5.9,0.83,0.3,236,20,466,16,0.96,8.18,0.75,4.83,0.88
Onion,5.73,0.76,1.17,318,7,271,13,1.89,7.64,1.28,5.23,0.46
Tur,7.91,0.23,1.01,177,14,443,23,1.29,8.84,0.15,6.31,0.21
Tomato,5.61,0.29,0.67,538,11,222,36,0.73,6.34,0.73,6.8,1.18
Banana,7.51,0.95,0.65,469,15,489,30,1.3,5.84,1.87,6.04,1.5
Wheat,6.46,0.41,0.55,601,14,219,10,0.49,4.48,1.53,6.26,1.12
Rice,7.59,1.46,0.38,223,14,421,38,1.44,3.14,1.36,7.47,0.61
Banana,7.52,0.68,0.21,467,29,339,57,1.73,7.03,1.12,6.95,1.2
Soybean,6.78,1.24,1.13,526,40,242,42,1.07,3.02,1.82,4.05,0.51
Soybean,7.5,1.46,1.15,370,10,153,38,1.01,7.4,1.06,7.35,0.79
Tur,6.08,0.1,0.95,381,28,489,54,0.62,8.39,0.31,6.13,1.45
Wheat,5.54,0.68,1.15,249,37,112,40,1.87,4.79,1.96,2.55,0.35
Maize,7.55,0.98,0.66,471,23,295,19,1.14,3.8,1.42,5.9,1.02
Tur,6.84,1.23,0.72,213,15,165,16,1.28,8.82,0.72,7.17,0.14
Bajra,6.79,1.09,0.98,357,36,573,15,0.27,4.97,0.73,7.94,0.68
Maize,5.68,0.8,1.14,365,11,396,23,0.51,8.25,1.98,6.75,0.63
Maize,7.7,0.48,0.4,295,28,373,50,1.39,8.75,0.78,2.91,0.52
Banana,6.82,0.72,0.93,196,43,126,25,0.86,8.02,1.08,4.52,0.39
Bajra,8.07,0.89,1.18,626,44,146,31,0.76,4.19,1.02,1.64,1.1
Tur,6.48,1.42,0.36,609,18,152,45,1.8,9.08,0.17,5.38,0.29
Maize,7.15,0.75,0.85,643,6,579,33,0.38,7.57,0.54,1.57,1.35
Onion,8.34,1.39,1.09,281,42,125,51,0.65,8.12,0.43,3.34,1.15
Wheat,5.69,0.63,0.81,348,33,350,5,0.68,5.92,1.05,1.58,0.55
Maize,8.16,0.98,0.75,492,15,181,29,1.32,8.6,1.4,5.91,1.27
Cotton,5.86,0.48,0.41,580,26,414,43,0.97,3.17,1.27,2.94,1.3
Wheat,5.57,1.34,0.56,536,39,136,40,1.24,4.37,1.14,3.5,0.18
Groundnut,7.06,1.44,0.47,403,43,111,26,1.57,4.71,0.98,4.68,0.16
Sugarcane,7.49,0.21,0.61,420,30,103,53,1.93,3.11,0.25,2.33,0.63
Cotton,6.69,0.35,0.93,273,43,482,56,0.25,2.34,1.65,1.46,0.26
Groundnut,8.02,1.48,0.58,276,20,325,44,1.11,2.41,0.93,1.95,0.84
Grapes,7.9,1.48,0.86,230,9,201,9,1.76,3.95,1.25,5.31,0.26
Jowar,7.88,1.23,0.35,629,20,308,33,0.39,3.49,1.45,7.23,0.39
Groundnut,7.33,0.63,0.51,480,12,451,12,1.97,7.41,0.11,5.08,0.76
Tomato,7.04,1.05,0.59,413,38,316,53,0.74,3.39,0.11,7.01,0.65
Grapes,6.09,1.38,0.59,373,44,194,33,0.94,6.96,0.57,6.35,1.09
Groundnut,7.65,1.32,0.92,336,24,268,7,1.54,5.58,0.66,4.81,0.96
Soybean,6.07,0.36,0.76,471,24,409,12,0.74,6.5,1.69,1.69,0.82
